Stable ID	Sphinx	DocC
ID0	GuidedTour/AboutSwift	
ID1	GuidedTour/GuidedTour	
ID2	GuidedTour/GuidedTourPart	
ID3	LanguageGuide/AccessControl	
ID4	accesscontrol-modulesandsourcefiles	Modules-and-Source-Files
ID5	accesscontrol-accesslevels	Access-Levels
ID6	accesscontrol-guidingprincipleofaccesslevels	Guiding-Principle-of-Access-Levels
ID7	accesscontrol-defaultaccesslevels	Default-Access-Levels
ID8	accesscontrol-accesslevelsforsingletargetapps	Access-Levels-for-Single-Target-Apps
ID9	accesscontrol-accesslevelsforframeworks	Access-Levels-for-Frameworks
ID10	accesscontrol-accesscontrolsyntax	Access-Control-Syntax
ID11	accesscontrol-customtypes	Custom-Types
ID12	accesscontrol-tupletypes	Tuple-Types
ID13	accesscontrol-functiontypes	Function-Types
ID14	accesscontrol-enumerationtypes	Enumeration-Types
ID15	accesscontrol-nestedtypes	Nested-Types
ID16	accesscontrol-subclassing	Subclassing
ID17	accesscontrol-constantsvariablespropertiesandsubscripts	Constants-Variables-Properties-and-Subscripts
ID18	accesscontrol-gettersandsetters	Getters-and-Setters
ID19	accesscontrol-initializers	Initializers
ID20	accesscontrol-defaultinitializers	Default-Initializers
ID21	accesscontrol-defaultmemberwiseinitializersforstructuretypes	Default-Memberwise-Initializers-for-Structure-Types
ID22	accesscontrol-protocols	Protocols
ID23	accesscontrol-protocolinheritance	Protocol-Inheritance
ID24	accesscontrol-protocolconformance	Protocol-Conformance
ID25	accesscontrol-extensions	Extensions
ID26	accesscontrol-generics	Generics
ID27	accesscontrol-typealiases	Type-Aliases
ID28	LanguageGuide/AdvancedOperators	
ID29	advancedoperators-bitwiseoperators	Bitwise-Operators
ID30	advancedoperators-bitwisenotoperator	Bitwise-NOT-Operator
ID31	advancedoperators-bitwiseandoperator	Bitwise-AND-Operator
ID32	advancedoperators-bitwiseoroperator	Bitwise-OR-Operator
ID33	advancedoperators-bitwisexoroperator	Bitwise-XOR-Operator
ID34	advancedoperators-bitwiseleftandrightshiftoperators	Bitwise-Left-and-Right-Shift-Operators
ID35	advancedoperators-shiftingbehaviorforunsignedintegers	Shifting-Behavior-for-Unsigned-Integers
ID36	advancedoperators-shiftingbehaviorforsignedintegers	Shifting-Behavior-for-Signed-Integers
ID37	advancedoperators-overflowoperators	Overflow-Operators
ID38	advancedoperators-valueoverflow	Value-Overflow
